grouping,alphabet,serial,subSerial,gridPosition,displayId,partOfSpeech,color,folderDisplayId,folderName,text,imageId,image,imageName
50,A,467,1,,A-467-1,Noun,#ffae37,9.2,Toys,play dough,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/playdough.svg,#N/A,playdough.svg
50,A,35,3,,A-35-3,verb,#20d35e,18.4,M-P,played,https://drive.google.com/file/d/1kkqWcqZwc0ifOaSsm_y-NpVOP-05OqTM/view?usp=sharing,#N/A,edcccccc.svg
50,A,35,6,,A-35-6,Noun,#ffae37,18.4,M-P,player,https://drive.google.com/file/d/1ikz2JQJID03vGUMfxsovIde4BQuRkAr9/view?usp=sharing,#N/A,peraaa.svg
50,A,444,1,,A-444-1,Noun,#ffae37,8.3,Community,playground,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/103-Park.png,#N/A,Parksss.png
50,A,444,2,,A-444-2,Noun,#ffae37,8.3,Community,playgrounds,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,Parkssssss.png
50,A,35,4,,A-35-4,verb,#20d35e,18.4,M-P,playing,https://drive.google.com/file/d/10xW_6MiaMm2pHEYG2rXEM8fOsiOTNl4-/view?usp=sharing,#N/A,ingaaaaaa.svg
50,A,751,1,,A-751-1,Noun,#ffae37,8.1,Home,playroom,https://drive.google.com/file/d/1m4aGVRZrD2yvh5Io0vpWtnXYcpYQDZbC/view?usp=sharing,#N/A,playroom.svg
50,A,751,2,,A-751-2,Noun,#ffae37,8.1,Home,playrooms,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getsssdoqw.svg
50,A,35,2,,A-35-2,verb,#20d35e,18.4,M-P,plays,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getsssssd.svg
50,A,766,5,,A-766-5,Noun,#ffae37,5.5,Farm,ponies,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getsdpqw.svg
50,A,766,4,,A-766-4,Noun,#ffae37,5.5,Farm,pony,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Pony-Ride-with-Reins_858_g.svg,#N/A,PonyRidewithReins.svg
50,A,766,6,,A-766-6,Noun,#ffae37,5.5,Farm,pony's,https://drive.google.com/file/d/1BOzdigxem0AFjH_FMBbwLns0rgrS6RAZ/view?usp=sharing,#N/A,spp.svg
50,A,344,1,,A-344-1,Noun,#ffae37,1.2,Vegetable,potato,U+1F954,🥔,
50,A,344,2,,A-344-2,Noun,#ffae37,1.2,Vegetable,potatoes,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,1f954.svg
50,A,372,1,,A-372-1,Noun,#ffae37,2.1,Snack,pretzel,U+1F968,🥨,
50,A,372,2,,A-372-2,Noun,#ffae37,2.1,Snack,pretzels,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getssdpq.svg
50,A,448,5,,A-448-5,Noun,#ffae37,5.4,Pets,puppies,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,hssssssessss.svg
50,A,448,4,,A-448-4,Noun,#ffae37,5.4,Pets,puppy,https://d18vdu4p71yql0.cloudfront.net/libraries/twemoji/1f436.svg,#N/A,hssssssesss.svg
50,A,448,6,,A-448-6,Noun,#ffae37,5.4,Pets,puppy's,https://drive.google.com/file/d/1BOzdigxem0AFjH_FMBbwLns0rgrS6RAZ/view?usp=sharing,#N/A,sddddd.svg
50,A,264,1,,A-264-1,adjective,#1983e5,3.4,Colors,purple,https://drive.google.com/file/d/1VKrWcGhzjnxUdIkHXZoqvREvSDX9lQjm/view?usp=sharing,#N/A,purple.svg
50,A,30,1,52,A-30-1,verb,#20d35e,18.4,M-P,put,https://drive.google.com/file/d/1h9aDlOjtgph72JeMyYnwoP8A_7Q6ZzkH/view?usp=sharing,#N/A,putt.svg
50,A,30,3,,A-30-3,verb,#20d35e,18.4,M-P,put,https://drive.google.com/file/d/1kkqWcqZwc0ifOaSsm_y-NpVOP-05OqTM/view?usp=sharing,,edc.svg
